run_id,case_id,antibody_id,step,refusal_stage,refusal_mode,blocked_rate_window,veto_streak,action_toggle_rate,SoMS_cumsum_window,refusal_triggered,refusal_reason_code
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,0,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,1,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,2,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,3,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,4,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,5,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,6,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,7,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,8,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,9,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,10,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,11,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,12,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,13,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,14,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,15,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,16,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,17,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,18,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,19,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,20,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,21,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,22,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,23,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,24,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,25,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,26,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,27,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,28,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,29,0,NORMAL,0.0,0.0,0.0,0.0,False,
core7_1767774738,B_GOVERNED,antibody_A,0,0,NORMAL,0.0,0.0,0.0,0.0,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,B_GOVERNED,antibody_A,1,0,NORMAL,0.0,0.0,0.0,0.6,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,B_GOVERNED,antibody_A,2,0,NORMAL,0.0,0.0,0.0,0.8999999999999999,False,REASON_MIN_STEPS_NOT_REACHED
core7_1767774738,B_GOVERNED,antibody_A,3,0,NORMAL,0.0,0.0,0.0,0.8999999999999999,False,REASON_MIN_STEPS_NOT_REACHED
