run_id,case_id,antibody_id,step,attempted,action,reason_code,SoD,SoMS,conflict_flag,mutation_desc,intended_axis,blocked
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,0,True,ALLOW,,0.3,0.0,False,CDR_mut_0,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,1,True,ALLOW,,0.8,0.0,False,CDR_mut_5,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,2,True,ALLOW,,1.5,0.0,False,CDR_mut_13,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,3,True,ALLOW,,2.4,0.0,False,CDR_mut_10,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,4,True,ALLOW,,4.4,0.0,True,CDR_mut_8,PROCESS,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,5,True,ALLOW,,6.1,0.0,True,CDR_mut_4,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,6,True,ALLOW,,7.6,0.0,False,CDR_mut_6,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,7,True,ALLOW,,9.3,0.0,False,CDR_mut_10,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,8,True,ALLOW,,11.6,0.0,True,CDR_mut_3,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,9,True,ALLOW,,13.7,0.0,False,CDR_mut_2,CHARGE,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,10,True,ALLOW,,16.9,0.0,True,CDR_mut_12,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,11,True,ALLOW,,20.3,0.0,True,CDR_mut_3,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,12,True,ALLOW,,23.0,0.0,False,CDR_mut_11,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,13,True,ALLOW,,25.9,0.0,False,CDR_mut_11,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,14,True,ALLOW,,29.4,0.0,True,CDR_mut_19,CHARGE,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,15,True,ALLOW,,33.6,0.0,True,CDR_mut_8,PROCESS,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,16,True,ALLOW,,37.1,0.0,False,CDR_mut_1,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,17,True,ALLOW,,40.8,0.0,False,CDR_mut_14,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,18,True,ALLOW,,44.7,0.0,False,CDR_mut_17,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,19,True,ALLOW,,49.2,0.0,True,CDR_mut_3,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,20,True,ALLOW,,53.5,0.0,False,CDR_mut_12,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,21,True,ALLOW,,58.4,0.0,True,CDR_mut_2,CHARGE,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,22,True,ALLOW,,64.0,0.0,True,CDR_mut_17,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,23,True,ALLOW,,68.9,0.0,False,CDR_mut_9,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,24,True,ALLOW,,74.0,0.0,False,CDR_mut_19,CHARGE,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,25,True,ALLOW,,79.3,0.0,False,CDR_mut_11,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,26,True,ALLOW,,84.8,0.0,False,CDR_mut_18,PROCESS,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,27,True,ALLOW,,90.9,0.0,True,CDR_mut_6,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,28,True,ALLOW,,96.8,0.0,False,CDR_mut_2,CHARGE,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_A,29,True,ALLOW,,103.8,0.0,True,CDR_mut_1,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,0,True,ALLOW,,0.7,0.0,True,CDR_mut_7,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,1,True,ALLOW,,1.6,0.0,True,CDR_mut_9,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,2,True,ALLOW,,2.3,0.0,False,CDR_mut_2,CHARGE,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,3,True,ALLOW,,3.2,0.0,False,CDR_mut_7,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,4,True,ALLOW,,4.3,0.0,False,CDR_mut_3,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,5,True,ALLOW,,6.0,0.0,True,CDR_mut_12,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,6,True,ALLOW,,7.5,0.0,False,CDR_mut_8,PROCESS,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,7,True,ALLOW,,9.2,0.0,False,CDR_mut_14,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,8,True,ALLOW,,11.1,0.0,False,CDR_mut_11,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,9,True,ALLOW,,13.2,0.0,False,CDR_mut_5,VISCOSITY,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,10,True,ALLOW,,15.5,0.0,False,CDR_mut_11,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,11,True,ALLOW,,18.9,0.0,True,CDR_mut_11,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,12,True,ALLOW,,22.5,0.0,True,CDR_mut_6,IMMUNO,False
core7_1767774738,A_ALWAYS_ALLOW,antibody_B,13,True,ALLOW,,25.4,0.0,False,CDR_mut_8,PROCESS,False
