step,allocation_id,switched,reason
0,B,True,FALLBACK_TRIGGERED
1,C,True,FALLBACK_TRIGGERED
2,C,False,NO_SWITCH
3,C,False,NO_SWITCH
4,C,False,NO_SWITCH
5,C,False,NO_SWITCH
6,C,False,NO_SWITCH
7,C,False,NO_SWITCH
8,C,False,NO_SWITCH
9,C,False,NO_SWITCH
10,C,False,NO_SWITCH
11,C,False,NO_SWITCH
12,C,False,NO_SWITCH
13,C,False,NO_SWITCH
14,C,False,NO_SWITCH
15,C,False,NO_SWITCH
16,C,False,NO_SWITCH
17,C,False,NO_SWITCH
18,C,False,NO_SWITCH
19,C,False,NO_SWITCH
20,C,False,NO_SWITCH
21,C,False,NO_SWITCH
22,C,False,NO_SWITCH
23,C,False,NO_SWITCH
24,C,False,NO_SWITCH
25,C,False,NO_SWITCH
26,C,False,NO_SWITCH
27,C,False,NO_SWITCH
28,C,False,NO_SWITCH
29,C,False,NO_SWITCH
30,C,False,NO_SWITCH
31,C,False,NO_SWITCH
32,C,False,NO_SWITCH
33,C,False,NO_SWITCH
34,C,False,NO_SWITCH
35,C,False,NO_SWITCH
36,C,False,NO_SWITCH
37,C,False,NO_SWITCH
38,C,False,NO_SWITCH
39,C,False,NO_SWITCH
40,C,False,NO_SWITCH
41,C,False,NO_SWITCH
42,C,False,NO_SWITCH
43,C,False,NO_SWITCH
44,C,False,NO_SWITCH
45,C,False,NO_SWITCH
46,C,False,NO_SWITCH
47,C,False,NO_SWITCH
48,C,False,NO_SWITCH
49,C,False,NO_SWITCH
50,C,False,NO_SWITCH
51,C,False,NO_SWITCH
52,C,False,NO_SWITCH
53,C,False,NO_SWITCH
54,C,False,NO_SWITCH
55,C,False,NO_SWITCH
56,C,False,NO_SWITCH
57,C,False,NO_SWITCH
58,C,False,NO_SWITCH
59,C,False,NO_SWITCH
