run_id,case_id,antibody_id,step,reservation_status,reservation_reason_code
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,0,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,1,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,2,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,3,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,4,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,5,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,6,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,7,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,8,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_A,9,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,0,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,1,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,2,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,3,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,4,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,5,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,6,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,7,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,8,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,9,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,0,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,1,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,2,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,3,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,4,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,5,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,6,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,7,HOLD,REASON_MIN_STEPS_NOT_REACHED
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_C,8,HOLD,REASON_MIN_STEPS_NOT_REACHED
