step,allocation_id,switched,reason
0,183,True,FALLBACK_CORE6_SELECTED
1,183,False,NO_SWITCH
2,183,False,NO_SWITCH
3,183,False,NO_SWITCH
4,183,False,NO_SWITCH
5,183,False,NO_SWITCH
6,183,False,NO_SWITCH
7,183,False,NO_SWITCH
8,183,False,NO_SWITCH
9,183,False,NO_SWITCH
10,183,False,NO_SWITCH
11,183,False,NO_SWITCH
12,183,False,NO_SWITCH
13,183,False,NO_SWITCH
14,183,False,NO_SWITCH
15,183,False,NO_SWITCH
16,183,False,NO_SWITCH
17,183,False,NO_SWITCH
18,183,False,NO_SWITCH
19,183,False,NO_SWITCH
20,183,False,NO_SWITCH
21,183,False,NO_SWITCH
22,183,False,NO_SWITCH
23,183,False,NO_SWITCH
24,183,False,NO_SWITCH
25,183,False,NO_SWITCH
26,183,False,NO_SWITCH
27,183,False,NO_SWITCH
28,183,False,NO_SWITCH
29,183,False,NO_SWITCH
30,183,False,NO_SWITCH
31,183,False,NO_SWITCH
32,183,False,NO_SWITCH
33,183,False,NO_SWITCH
34,183,False,NO_SWITCH
35,183,False,NO_SWITCH
36,183,False,NO_SWITCH
37,183,False,NO_SWITCH
38,183,False,NO_SWITCH
39,183,False,NO_SWITCH
40,183,False,NO_SWITCH
41,183,False,NO_SWITCH
42,183,False,NO_SWITCH
43,183,False,NO_SWITCH
44,183,False,NO_SWITCH
45,183,False,NO_SWITCH
46,183,False,NO_SWITCH
47,183,False,NO_SWITCH
48,183,False,NO_SWITCH
49,183,False,NO_SWITCH
50,183,False,NO_SWITCH
51,183,False,NO_SWITCH
52,183,False,NO_SWITCH
53,183,False,NO_SWITCH
54,183,False,NO_SWITCH
55,183,False,NO_SWITCH
56,183,False,NO_SWITCH
57,183,False,NO_SWITCH
58,183,False,NO_SWITCH
59,183,False,NO_SWITCH
